===== Redis 100M Benchmark =====
Instance Type: r8i.xlarge
Run: 4
Date: 2026-01-21T04:59:41+00:00

--- System Info ---
CPU: 4 cores
Memory: 30.8G
model name	: Intel(R) Xeon(R) 6975P-C

--- Starting Redis Server ---
Redis server started

--- Warmup ---
Warmup complete (1M requests)

--- Test 1: SET 100M requests (50 clients, 3 threads) ---
Start: 2026-01-21T05:13:51+00:00
 
SET: rps=0.0 (overall: inf) avg_msec=0.166 (overall: 0.092)
                                                            
SET: rps=231060.0 (overall: 231140.0) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229354.6 (overall: 230245.5) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230580.0 (overall: 230356.9) avg_msec=0.203 (overall: 0.203)
                                                                      
SET: rps=230576.0 (overall: 230411.6) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=231012.0 (overall: 230531.6) avg_msec=0.203 (overall: 0.203)
                                                                      
SET: rps=230456.0 (overall: 230519.0) avg_msec=0.204 (overall: 0.203)
                                                                      
SET: rps=230812.0 (overall: 230560.8) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229239.1 (overall: 230395.1) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=227448.0 (overall: 230067.9) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230044.0 (overall: 230065.5) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230340.0 (overall: 230090.5) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230512.0 (overall: 230125.6) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=229294.8 (overall: 230061.5) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229236.0 (overall: 230002.6) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=229944.0 (overall: 229998.7) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=229452.0 (overall: 229964.5) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230108.0 (overall: 229973.0) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230172.0 (overall: 229984.0) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=229282.9 (overall: 229947.0) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230424.0 (overall: 229970.8) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229960.0 (overall: 229970.3) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230708.0 (overall: 230003.8) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229556.0 (overall: 229984.3) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230760.0 (overall: 230016.6) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229462.2 (overall: 229994.4) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230396.0 (overall: 230009.8) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230252.0 (overall: 230018.8) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=228760.0 (overall: 229973.9) avg_msec=0.203 (overall: 0.204)
                                                                      
SET: rps=230592.0 (overall: 229995.2) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=228864.5 (overall: 229957.4) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229636.0 (overall: 229947.0) avg_msec=0.205 (overall: 0.204)
                                                                      
SET: rps=230828.0 (overall: 229974.5) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=230159.4 (overall: 229980.1) avg_msec=0.203 (overall: 0.204)
                                                                      
SET: rps=231288.0 (overall: 230018.6) avg_msec=0.199 (overall: 0.204)
                                                                      
SET: rps=230296.0 (overall: 230026.5) avg_msec=0.203 (overall: 0.204)
                                                                      
SET: rps=231136.0 (overall: 230057.3) avg_msec=0.203 (overall: 0.204)
                                                                      
SET: rps=230200.0 (overall: 230061.1) avg_msec=0.204 (overall: 0.204)
                                                                      
SET: rps=229292.0 (overall: 230040.9) avg_msec=0.204 (overall: 0.204)
                                                                      
