===== Spring Boot Time-Series Benchmark =====
Instance Type: c8g.xlarge
Run: 1
Spring Boot Host: springboot-server-c8g-xlarge
Timestamp: 2026-01-22T03:43:23+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,63935.38,1.50,3.82
20,60947.96,1.52,4.18
30,61822.67,1.50,3.83
40,65136.56,1.49,3.80
50,68015.94,1.48,3.38
60,68098.14,1.48,3.26
70,66701.76,1.50,3.56
80,61938.86,1.50,3.86
90,61319.59,1.52,3.87
100,62955.18,1.50,3.86
110,66616.96,1.50,4.06
120,68188.79,1.48,3.33
130,67551.17,1.50,3.44
140,64475.30,1.49,3.43
150,61074.94,1.52,4.04
160,62502.70,1.51,4.16
170,64335.34,1.49,4.01
180,67921.61,1.50,3.52
190,68027.12,1.49,3.68
200,67333.66,1.50,3.59
210,61509.16,1.51,4.03
220,62680.73,1.51,4.36
230,63468.96,1.49,3.82
240,65784.53,1.48,3.64
250,67684.28,1.49,3.11
260,67802.18,1.49,3.35
270,64832.14,1.49,3.52
280,61785.28,1.51,4.16
290,63567.20,1.49,3.70
300,65023.60,1.47,3.60
310,66786.70,1.52,4.00
320,67190.59,1.50,3.51
330,66647.35,1.50,3.63
340,61006.64,1.53,3.94
350,62951.83,1.52,3.91
360,63524.28,1.51,3.81
370,64274.91,1.51,3.90
380,66947.23,1.49,3.47
390,67794.92,1.48,3.15
400,64683.97,1.49,3.67
410,62278.39,1.52,3.93
420,62981.89,1.50,3.86
430,63300.68,1.50,4.00
440,65270.30,1.52,4.15
450,67437.86,1.49,3.40
460,67707.93,1.48,3.25
470,63186.65,1.50,3.94
480,63290.91,1.50,3.84
490,63813.12,1.49,3.96
500,63414.53,1.50,3.81
510,67227.71,1.49,3.48
520,67038.13,1.50,3.56
530,64701.82,1.52,3.71
540,62671.83,1.51,3.88
550,62657.29,1.52,3.93
560,64037.20,1.49,3.84
570,65156.42,1.50,3.69
580,67415.27,1.49,3.23
590,67474.87,1.49,3.55
600,63520.96,1.48,3.66

===== Time-Series Benchmark Complete =====
