===== Spring Boot Time-Series Benchmark =====
Instance Type: c8i-flex.xlarge
Run: 4
Spring Boot Host: springboot-server-c8i-flex-xlarge
Timestamp: 2026-01-21T14:51:03+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,92159.78,1.08,2.41
20,74779.88,1.22,3.37
30,71114.63,1.26,3.62
40,81313.41,1.16,3.26
50,90993.70,1.08,2.66
60,91570.89,1.08,2.58
70,90181.16,1.09,2.65
80,85109.10,1.13,2.91
90,71715.78,1.25,3.59
100,75281.82,1.21,3.40
110,85528.09,1.14,3.16
120,88832.44,1.11,2.56
130,89514.82,1.11,2.55
140,90485.96,1.09,2.55
150,72860.13,1.25,3.47
160,72553.12,1.26,3.59
170,75781.67,1.25,3.72
180,88054.79,1.13,2.67
190,89194.32,1.12,2.71
200,89247.49,1.12,2.62
210,82593.17,1.16,2.98
220,72465.63,1.26,3.75
230,75531.81,1.23,3.55
240,82438.91,1.17,3.18
250,90072.69,1.10,2.52
260,91127.65,1.09,2.50
270,90749.13,1.09,2.52
280,75341.13,1.23,3.45
290,76663.76,1.20,3.37
300,78487.95,1.19,3.25
310,91533.64,1.08,2.51
320,93214.05,1.07,2.39
330,93274.72,1.07,2.39
340,84156.71,1.14,2.97
350,76128.35,1.21,3.38
360,76378.46,1.23,3.53
370,79753.05,1.20,3.56
380,88073.92,1.13,2.76
390,90165.77,1.11,2.59
400,89457.53,1.11,2.51
410,76140.14,1.23,3.30
420,74016.58,1.25,3.57
430,75209.66,1.24,3.58
440,84954.92,1.14,3.23
450,89098.52,1.11,2.61
460,90455.83,1.10,2.51
470,86114.38,1.13,2.85
480,75465.94,1.22,3.52
490,77260.60,1.20,3.49
500,77839.92,1.20,3.45
510,89911.33,1.09,2.68
520,91312.33,1.08,2.53
530,91922.15,1.08,2.51
540,81428.90,1.17,3.14
550,76205.99,1.21,3.30
560,77574.18,1.20,3.29
570,82707.78,1.16,3.16
580,89804.11,1.10,2.60
590,89317.26,1.11,2.62
600,88276.60,1.11,2.69

===== Time-Series Benchmark Complete =====
