===== Spring Boot Time-Series Benchmark =====
Instance Type: m7i-flex.xlarge
Run: 1
Spring Boot Host: springboot-server-m7i-flex-xlarge
Timestamp: 2026-01-21T14:18:22+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,75916.36,1.26,3.32
20,68429.78,1.35,3.78
30,70020.99,1.31,3.81
40,75114.15,1.28,3.47
50,75642.25,1.33,3.17
60,78005.47,1.29,3.18
70,74115.67,1.35,3.25
80,67405.01,1.37,3.81
90,68002.97,1.36,3.80
100,68271.44,1.39,4.00
110,74755.88,1.31,3.38
120,77509.46,1.29,3.05
130,74174.33,1.35,3.15
140,74439.88,1.31,3.55
150,70424.07,1.30,3.70
160,68924.22,1.36,3.81
170,66652.99,1.43,3.89
180,74022.68,1.35,3.39
190,71187.36,1.45,3.53
200,74373.58,1.35,3.06
210,70550.81,1.33,3.62
220,68910.09,1.35,3.92
230,71229.83,1.34,3.80
240,73268.88,1.34,3.55
250,72150.94,1.39,3.10
260,72589.91,1.38,3.11
270,69988.17,1.39,3.46
280,65244.96,1.43,3.90
290,68792.33,1.37,3.70
300,70122.19,1.36,3.66
310,72503.03,1.37,3.59
320,74520.72,1.36,3.53
330,77917.54,1.29,3.21
340,68890.61,1.36,3.67
350,69982.07,1.34,3.80
360,71086.95,1.33,3.83
370,70037.62,1.37,3.90
380,75819.88,1.33,3.42
390,77378.96,1.29,3.11
400,75384.42,1.30,3.26
410,71899.49,1.31,3.85
420,71281.04,1.32,3.78
430,65969.55,1.47,4.18
440,70333.41,1.41,3.92
450,73876.93,1.38,3.58
460,72782.42,1.39,3.43
470,72005.73,1.33,3.50
480,69431.19,1.37,3.89
490,68570.24,1.38,3.71
500,70215.30,1.36,3.72
510,68283.49,1.48,3.86
520,70378.81,1.43,3.72
530,70301.10,1.43,3.89
540,66925.78,1.42,4.03
550,65864.99,1.45,4.01
560,68154.92,1.38,3.74
570,70236.73,1.40,3.91
580,72095.37,1.39,3.59
590,76372.17,1.31,3.32
600,72560.02,1.34,3.62

===== Time-Series Benchmark Complete =====
