===== Spring Boot Time-Series Benchmark =====
Instance Type: r8i-flex.xlarge
Run: 3
Spring Boot Host: springboot-server-r8i-flex-xlarge
Timestamp: 2026-01-21T14:40:14+00:00

Configuration:
  - Warmup: 30s (JIT compilation)
  - Data points: 60 (10s intervals = 10 minutes)
  - wrk settings: -t2 -c100 (matches regular benchmark)

--- Warm-up Phase (30s) ---
Warm-up complete - JIT compilation done

--- Time-Series Data ---
elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
10,91071.86,1.07,2.52
20,74042.71,1.21,3.40
30,73590.28,1.22,3.45
40,83058.02,1.13,2.96
50,91608.68,1.08,2.56
60,90853.16,1.09,2.71
70,92826.62,1.06,2.35
80,81769.28,1.14,3.01
90,73597.83,1.21,3.40
100,76125.49,1.20,3.45
110,88273.70,1.10,2.74
120,92193.98,1.07,2.37
130,91923.74,1.07,2.36
140,88379.41,1.11,2.76
150,73283.11,1.22,3.48
160,75825.89,1.19,3.37
170,81257.02,1.16,3.27
180,91777.42,1.07,2.44
190,92692.98,1.06,2.27
200,92032.17,1.07,2.41
210,81232.28,1.14,2.97
220,76990.17,1.18,3.31
230,78206.87,1.18,3.37
240,85904.44,1.11,2.95
250,91953.43,1.07,2.32
260,92399.97,1.07,2.37
270,89512.21,1.08,2.66
280,74875.93,1.20,3.39
290,78670.60,1.18,3.30
300,79852.15,1.17,3.19
310,91177.88,1.07,2.39
320,92025.32,1.07,2.35
330,91132.13,1.08,2.39
340,79013.22,1.17,3.12
350,77601.88,1.19,3.16
360,78086.77,1.19,3.30
370,82902.78,1.15,3.10
380,89593.51,1.10,2.52
390,91264.44,1.09,2.11
400,85933.11,1.14,2.82
410,76678.95,1.20,3.40
420,77493.70,1.20,3.43
430,78313.88,1.19,3.37
440,85481.41,1.14,3.18
450,91080.54,1.09,2.45
460,92170.18,1.08,2.15
470,82653.00,1.15,2.99
480,76421.67,1.21,3.40
490,78336.51,1.19,3.40
500,78846.74,1.18,3.42
510,90676.85,1.08,2.52
520,92922.54,1.06,2.26
530,91660.54,1.08,2.34
540,78751.86,1.17,3.22
550,78958.98,1.16,3.11
560,79094.01,1.17,3.24
570,85342.73,1.12,2.92
580,90905.92,1.07,2.43
590,92481.92,1.07,2.22
600,85438.44,1.12,2.82

===== Time-Series Benchmark Complete =====
