instance,run,elapsed_sec,requests_per_sec,avg_latency_ms,p99_latency_ms
c7i-flex.xlarge,1,10,88465.74,1.09,2.91
c7i-flex.xlarge,1,20,79959.16,1.12,3.31
c7i-flex.xlarge,1,30,81737.23,1.09,3.43
c7i-flex.xlarge,1,40,91621.35,1.03,2.94
c7i-flex.xlarge,1,50,98513.31,1.02,2.48
c7i-flex.xlarge,1,60,98958.02,1.20,9.48
c7i-flex.xlarge,1,70,100304.56,0.99,2.39
c7i-flex.xlarge,1,80,89161.29,1.02,3.15
c7i-flex.xlarge,1,90,85522.51,1.03,3.32
c7i-flex.xlarge,1,100,88089.67,1.06,3.38
c7i-flex.xlarge,1,110,96357.95,1.17,6.36
c7i-flex.xlarge,1,120,99149.87,1.00,2.38
c7i-flex.xlarge,1,130,101925.59,0.97,2.35
c7i-flex.xlarge,1,140,93948.51,1.02,2.67
c7i-flex.xlarge,1,150,84544.51,1.05,3.33
c7i-flex.xlarge,1,160,87849.05,1.03,3.32
c7i-flex.xlarge,1,170,95632.05,1.00,2.89
c7i-flex.xlarge,1,180,102140.68,0.96,2.49
c7i-flex.xlarge,1,190,101431.99,0.98,2.36
c7i-flex.xlarge,1,200,102394.84,1.17,10.30
c7i-flex.xlarge,1,210,89096.09,1.02,3.18
c7i-flex.xlarge,1,220,86291.27,1.04,3.32
c7i-flex.xlarge,1,230,87506.11,1.05,3.16
c7i-flex.xlarge,1,240,93219.22,1.29,14.29
c7i-flex.xlarge,1,250,95512.16,1.07,2.81
c7i-flex.xlarge,1,260,101500.98,0.98,2.43
c7i-flex.xlarge,1,270,97272.73,0.99,2.75
c7i-flex.xlarge,1,280,79178.91,1.20,4.31
c7i-flex.xlarge,1,290,73322.59,1.52,9.65
c7i-flex.xlarge,1,300,88278.02,1.05,3.21
c7i-flex.xlarge,1,310,87889.80,1.11,2.79
c7i-flex.xlarge,1,320,86562.23,1.14,2.62
c7i-flex.xlarge,1,330,89553.53,1.11,2.58
c7i-flex.xlarge,1,340,86930.69,1.05,3.19
