instance,arch,gen,family,tuning,rps_50,rps_100,rps_200,lat_avg_100,lat_p99_100,coldstart,price,perf_dollar
r8i-flex.xlarge,Intel,8,R,C1_C2,68561.12,83149.71,93934.56,1.16,2.97,4.759,0.294,282822
m8i.xlarge,Intel,8,M,C1_C2,77180.96,82004.09,85681.01,1.17,2.94,4.68,0.254,322851
c8i-flex.xlarge,Intel,8,C,C1_C2,66276.61,79723.39,88015.5,1.21,3.06,4.543,0.2,398617
r8i.xlarge,Intel,8,R,C1_C2,67470.0,78739.19,88332.73,1.22,2.93,4.831,0.316,249175
c8i.xlarge,Intel,8,C,C1_C2,65381.93,77783.5,86132.6,1.24,2.98,4.313,0.212,366903
c8g.xlarge,Graviton,8,C,C2_only,68987.04,73937.18,79051.79,1.31,3.24,4.016,0.154,480112
r7i.xlarge,Intel,7,R,C1_C2,69324.26,72864.27,77701.28,1.33,3.04,5.517,0.301,242074
m8g.xlarge,Graviton,8,M,C2_only,67656.52,72399.0,77322.97,1.35,3.46,4.545,0.185,391346
r8g.xlarge,Graviton,8,R,C2_only,66715.75,71541.45,75516.04,1.36,3.29,4.417,0.229,312408
m7i.xlarge,Intel,7,M,C1_C2,65525.68,70929.32,75425.75,1.36,3.19,5.828,0.242,293096
m7i-flex.xlarge,Intel,7,M,C1_C2,62702.41,66847.68,72777.95,1.48,3.96,5.263,0.218,306641
c7i.xlarge,Intel,7,C,C1_C2,54818.06,61274.89,65105.96,1.58,3.22,5.675,0.202,303341
r6i.xlarge,Intel,6,R,C1_C2,48983.5,52687.14,53711.4,1.86,3.71,6.269,0.286,184221
c6id.xlarge,Intel,6,C,C1_C2,47290.82,52114.35,54167.48,1.88,3.51,5.942,0.242,215349
m6idn.xlarge,Intel,6,M,C1_C2,47290.83,51541.33,52715.12,1.91,3.56,6.084,0.321,160565
c6in.xlarge,Intel,6,C,C1_C2,46937.4,50253.47,52284.5,1.95,3.83,5.822,0.254,197848
m6i.xlarge,Intel,6,M,C1_C2,46369.69,49059.6,50920.41,2.0,3.78,6.254,0.23,213303
m6in.xlarge,Intel,6,M,C1_C2,46111.73,48727.89,49774.57,2.03,3.79,6.621,0.285,170975
c6i.xlarge,Intel,6,C,C1_C2,47083.83,47871.97,48455.22,2.07,3.91,6.296,0.192,249333
r7g.xlarge,Graviton,7,R,C2_only,41745.03,47225.15,51350.84,2.11,4.45,5.631,0.24,196771
r6id.xlarge,Intel,6,R,C1_C2,43097.04,46771.15,47767.88,2.11,3.91,6.214,0.353,132496
m6id.xlarge,Intel,6,M,C1_C2,45008.68,46515.17,46662.15,2.11,3.99,6.34,0.285,163211
r7gd.xlarge,Graviton,7,R,C2_only,43011.96,46341.12,51855.06,2.16,4.3,5.609,0.287,161467
c7g.xlarge,Graviton,7,C,C2_only,42835.97,46033.65,49527.6,2.16,4.57,5.573,0.162,284158
m5zn.xlarge,Intel,5,M,C1_C2,44209.07,45718.94,46096.59,2.16,3.92,6.336,0.331,138124
m7g.xlarge,Graviton,7,M,C2_only,41859.2,45332.4,48707.53,2.2,4.56,5.987,0.194,233672
c7gd.xlarge,Graviton,7,C,C2_only,41217.39,44183.81,47645.04,2.26,4.69,5.4,0.193,228932
m7gd.xlarge,Graviton,7,M,C2_only,39820.19,42983.77,46363.85,2.33,4.67,5.7,0.231,186077
c5.xlarge,Intel,5,C,C1_C2,37638.39,38802.0,39486.54,2.56,4.71,7.13,0.192,202094
c5n.xlarge,Intel,5,C,C1_C2,36973.42,38107.24,38841.39,2.61,4.74,7.363,0.242,157468
r5b.xlarge,Intel,5,R,C1_C2,33826.03,34901.19,35371.76,2.85,5.11,7.733,0.343,101753
m5d.xlarge,Intel,5,M,C1_C2,33169.18,34377.73,34980.98,2.9,5.28,7.905,0.261,131715
r5.xlarge,Intel,5,R,C1_C2,32938.86,34374.19,34459.86,2.89,5.25,8.257,0.286,120189
r5d.xlarge,Intel,5,R,C1_C2,31991.38,33459.44,33726.1,2.97,5.49,8.065,0.329,101700
r5dn.xlarge,Intel,5,R,C1_C2,32776.08,33430.46,33875.63,2.98,5.45,8.339,0.377,88675
r5n.xlarge,Intel,5,R,C1_C2,32333.59,32852.9,33332.83,3.03,5.46,7.745,0.343,95781
m5.xlarge,Intel,5,M,C1_C2,31878.11,32656.94,32979.01,3.04,5.61,7.359,0.23,141987
c5d.xlarge,Intel,5,C,C1_C2,30640.43,31993.74,32153.55,3.12,5.73,7.129,0.218,146760
c6gn.xlarge,Graviton,6,C,C2_only,29132.51,31353.7,33584.01,3.19,6.22,7.11,0.194,161617
m6g.xlarge,Graviton,6,M,C2_only,28376.09,30952.89,33039.36,3.25,6.4,7.502,0.185,167313
r6g.xlarge,Graviton,6,R,C2_only,28440.65,30809.23,32906.0,3.26,6.48,7.354,0.229,134538
r6gd.xlarge,Graviton,6,R,C2_only,28609.94,30772.76,33431.56,3.26,6.66,7.342,0.264,116563
m6gd.xlarge,Graviton,6,M,C2_only,27825.7,30692.32,32661.54,3.28,6.23,7.948,0.22,139511
c6gd.xlarge,Graviton,6,C,C2_only,27525.53,30067.57,32051.48,3.34,6.74,7.712,0.185,162527
c6g.xlarge,Graviton,6,C,C2_only,27904.77,30025.77,31938.37,3.35,6.72,7.592,0.154,194973
